text,meaning,partOfSpeech,exampleSentence,pronunciation,synonyms,antonyms,isLearned,meaning_test_en,meaning_test_ko,meaning_test_zh,meaning_test_ja,synonym_test_en,antonym_test_en
Abate,To become less intense or widespread,verb,The storm quickly began to abate.,/əˈbeɪt/,subside,increase,false,become less intense| increase| worsen| intensify,약해지다| 강해지다| 악화되다| 심해지다,减弱| 增强| 恶化| 加剧,弱まる| 強まる| 悪化する| 激しくなる,subside| intensify| increase| grow,increase| augment| expand| subside
Abdicate,To give up a position of power or responsibility,verb,The king decided to abdicate his throne.,/ˈæbdɪkeɪt/,resign,assume,false,give up power| take power| maintain| grasp,퇴위하다| 권력을 잡다| 유지하다| 쥐다,放弃权力| 掌握权力| 维持| 抓住,退位する| 権力を握る| 維持する| 掴む,resign| quit| retire| abdicate,assume| keep| retain| usurp
Aberration,A departure from what is normal, usual, or expected,noun,His outburst was an aberration from his usual calm demeanor.,/ˌæbəˈreɪʃən/,anomaly,normality,false,departure from normal| normal behavior| expected outcome| standard rule,일탈| 정상 행동| 예상 결과| 표준 규칙,异常| 正常行为| 预期结果| 标准规则,逸脱| 正常な行動| 予想される結果| 標準ルール
Abhor,To regard with disgust and hatred,verb,She abhors racism in any form.,/æbˈhɔːr/,detest,love,false,regard with hatred| admire| tolerate| embrace,혐오하다| 존경하다| 용인하다| 받아들이다,憎恨| 钦佩| 容忍| 拥抱,嫌悪する| 尊敬する| 容認する| 受け入れる,detest| loathe| abominate| despise,love| adore| like| cherish
Abjure,Solemnly renounce (a belief, cause, or claim),verb,He abjured his former beliefs.,/æbˈdʒʊər/,forswear,adhere,false,solemnly renounce| embrace| confirm| maintain,공식적으로 포기하다| 받아들이다| 확인하다| 유지하다,郑重放弃| 拥抱| 确认| 维持,公式に放棄する| 受け入れる| 確認する| 維持する
Ablution,The act of washing oneself (often for religious reasons),noun,The priest performed his morning ablutions.,/əˈbluːʃən/,washing,dirtiness,false,act of washing| act of eating| act of sleeping| act of praying,세정| 식사| 수면| 기도,洗礼| 吃饭| 睡觉| 祈祷,洗浄| 食事| 睡眠| 祈祷,washing| cleansing| purification| bathing,dirtiness| contamination| filth| pollution
Abnegate,Renounce or reject (something desirable),verb,They had to abnegate their luxuries.,/ˈæbnɪɡeɪt/,deny,indulge,false,renounce| accept| desire| allow,포기하다| 받아들이다| 원하다| 허용하다,放弃| 接受| 渴望| 允许,放棄する| 受け入れる| 望む| 許す,deny| renounce| reject| forgo,indulge| accept| crave| desire
Abolish,Formally put an end to (a system, practice, or institution),verb,Slavery was abolished in the 19th century.,/əˈbɒlɪʃ/,end,establish,false,put an end to| establish| create| promote,폐지하다| 설립하다| 창조하다| 촉진하다,废除| 建立| 创造| 促进,廃止する| 設立する| 創造する| 促進する
Abominate,Detest; loathe,verb,He abominates all forms of cruelty.,/əˈbɒmɪneɪt/,hate,love,false,detest| admire| love| tolerate,몹시 싫어하다| 존경하다| 사랑하다| 용인하다,憎恶| 钦佩| 爱| 容忍,嫌悪する| 尊敬する| 愛する| 容認する,hate| despise| loathe| execrate,love| adore| admire| cherish
Abrogate,Repeal or do away with (a law, right, or agreement),verb,The new law was designed to abrogate previous agreements.,/ˈæbrəɡeɪt/,revoke,institute,false,repeal| establish| enforce| confirm,폐지하다| 제정하다| 강제하다| 확인하다,废除| 建立| 强制执行| 确认,廃止する| 制定する| 強制する| 確認する
Abscond,Leave hurriedly and secretly, typically to avoid detection of or arrest for an unlawful action,verb,He absconded with the company's funds.,/æbˈskɒnd/,flee,stay,false,flee| stay| appear| report,도주하다| 머무르다| 나타나다| 보고하다,潜逃| 留下| 出现| 报告,逃亡する| 留まる| 現れる| 報告する,flee| escape| bolt| decamp
